#OTU ID	A101	A79	A92	A93	A110	A111	A112	A113	A114	A115	A11	A12	A13	A14	A15	A16	A17	A18	A19	A1	A20	A21	A22	A23	A24	A25	A26	A27	A28	A29	A2	A30	A31	A32	A33	A34	A35	A36	A37	A38	A39	A3	A40	A41	A42	A43	A44	A45	A46	A47	A48	A49	A4	A50	A51	A52	A53	A54	A55	A56	A57	A58	A59	A5	A60	A61	A62	A63	A64	A65	A66	A67	A68	A69	A6	A70	A71	A72	A73	A74	A75	A76	A77	A78	A7	A80	A81	A82	A83	A84	A85	A86	A87	A88	A89	A8	A90	A91	A94	A95	A96	A97	A98	A99	A9	A100	A102	A103	A104	A105	A106	A107	A108	A109	A10	Substrate_high_level	Name	EC_Number
CBM37	93	869	34	214	48	72	11	19	26	19	255	195	176	705	600	604	368	90	313	161	97	107	93	150	62	409	177	320	204	192	279	162	58	108	202	186	764	568	62	1	141	548	0	59	114	82	186	125	95	114	58	107	195	90	130	100	133	151	141	204	182	355	226	179	294	414	631	143	253	73	152	84	125	128	250	221	464	336	237	377	159	168	103	188	177	404	92	65	95	100	190	212	880	181	417	265	289	249	260	308	184	240	89	29	64	54	156	99	90	167	214	0	0	0	136	xylan, chitin, cellulose	Modules of approx. 100 residues, conserved in numerous R. albus polysaccharide-degrading enzymes and other proteins from this bacterium. Several members of CBM37 have been shown to exhibit rather broad binding specificity to xylan, chitin, microcrystalline and phosphoric-acid swollen cellulose, as well as more heterogeneous substrates, such as alfalfa cell walls, banana stem and wheat straw.	NA
CBM38	24396	49366	12088	38448	13782	29342	12644	18598	21860	20939	42106	40857	38879	32949	35019	42890	29932	15637	24019	20158	41428	33587	36802	41580	45271	37458	36593	37385	34725	50997	25606	41006	30374	29982	40612	32823	37699	47076	22497	1045	40785	28560	0	26325	30190	20803	28285	26559	38846	36858	32240	35167	36419	34902	38368	37131	43922	41555	36235	16798	13358	39883	26723	23556	28044	36021	37764	25640	32007	18580	32192	20346	30391	27923	38585	34020	34932	29549	26473	31886	28024	27675	31147	35190	34620	44458	34588	35222	36569	38624	36540	34210	21049	33054	11363	40019	25177	28442	44334	47545	36961	32022	34293	12052	24488	18059	36052	27684	24287	34546	29431	51	0	37	29749	fructan	The inulin-binding function has been demonstrated in the case of the cycloinulo-oligosaccharide fructanotransferase from Paenibacillus macerans (Bacillus macerans) by Lee et al. (2004) FEMS Microbiol Lett 234:105-10. (PMID:15109727).	NA
CBM39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	beta-glucan,lipopolysaccharide	Modules generally found at the N-terminus of a GH16 module (itself frequently lacking a catalytic machinery) and more seldomly in isolation. The beta-1,3-glucan binding function has been demonstrated, along with binding to lipopolysaccharide and lipoteichoic acid.	NA
CBM4	2378	3330	1013	3095	1677	3554	2790	1811	2714	2949	3817	3224	2905	2040	2368	2486	1698	928	1291	1548	3990	2727	3594	3769	3264	2308	2147	1941	2490	3452	2094	4601	1823	3394	3371	2555	2561	2954	1828	59	3722	2213	2	2239	2122	2199	3056	2577	5045	4453	4010	4531	2556	4238	4867	5338	5530	5204	4129	1445	989	3043	2421	1849	2813	1915	2531	1612	1646	1415	1329	3460	5044	2602	2578	4153	2636	2144	2164	2721	2433	2554	3075	1921	2875	4935	3375	2101	3569	3446	3553	1922	2350	2051	1322	2863	2283	3083	3414	4429	3434	2838	3869	1351	2984	1645	3150	3316	3957	3107	3613	1	0	0	2693	xylan, beta-glucan	Modules of approx. 150 residues found in bacterial enzymes. Binding of these modules has been demonstrated with xylan, beta-1,3-glucan, beta-1,3-1,4-glucan, beta-1,6-glucan and amorphous cellulose but not with crystalline cellulose.	NA
CBM40	68	157	34	61	16	35	13	122	108	78	73	55	46	146	269	176	86	77	67	38	16	13	26	14	8	72	47	41	73	81	86	98	55	36	55	40	124	132	40	2	61	169	0	37	56	36	61	65	72	192	175	66	87	92	161	84	93	48	28	84	48	72	146	162	213	88	80	189	103	43	64	85	70	94	108	58	155	92	165	296	40	149	314	72	46	86	42	40	52	40	25	101	104	41	200	139	204	216	57	56	31	30	29	3	24	14	312	69	73	82	181	0	0	2	46	sialic acid	Modules of approx. 200 residues, found at the N-terminus of GH33 sialidases. Can also be found inserted in the beta-propeller of GH33 sialidases. The sialic acid binding function has been demonstrated for the N-terminal CBM40 of Vibrio cholerae sialidase (Moustafa et al. (2004) J Biol Chem 279:40819-26) (PMID: 15226294).	NA
CBM41	18623	41862	9132	25055	9804	17961	11011	11178	13062	12566	28218	26758	26884	27906	30732	32439	20783	12154	15621	22610	25850	19542	23047	25059	26035	24252	25468	26711	26402	30239	22726	25373	18933	18811	26082	25952	37039	42068	16421	719	34285	31853	0	22477	23868	15011	20147	19367	32623	31947	27228	30386	29804	27631	35046	32309	36471	32084	32867	15475	12473	35802	24585	18383	34189	33241	36435	21844	22430	15030	23874	18957	27959	22489	30300	27093	29737	22022	22365	28071	21951	23443	28897	25136	27291	35012	23975	22149	24258	25339	24193	30093	17527	29550	12128	34344	24597	24561	27553	32436	24772	21082	19824	8327	12757	12477	31146	22175	20510	27332	30548	37	0	27	19849	beta-glucan	Modules of approx. 100 residues found in primarily in bacterial pullulanases. The N-terminal module from Thermotoga maritima Pul13 has been shown to bind to the alpha-glucans amylose, amylopectin, pullulan, and oligosaccharide fragments derived from these polysaccharides (Lammerts van Bueren et al. (2004) Biochemistry 43:15633-42) (PMID: 15581376).	NA
CBM42	24878	37073	10160	27703	11231	22226	12050	22645	19269	17323	31733	34640	31570	27364	28808	35577	22379	9501	17715	19949	32977	28356	29301	34824	32113	31851	28211	33981	29722	36573	22826	34729	27488	26504	36077	32622	35108	43526	18897	962	42913	24977	0	27149	19902	12242	18041	17402	24624	26578	20223	24805	34210	23776	30382	32721	36216	36644	32981	12770	9287	33764	21627	18833	21928	26131	29156	16801	24711	15493	23569	24006	36973	24768	37093	34979	30400	23301	20895	25788	28379	25147	24577	27127	33876	38628	27976	25230	28588	31336	33133	27715	19363	30838	10293	36518	18981	21324	31175	36481	26289	26864	24320	10386	16096	16625	30381	32604	20264	29172	25190	37	0	38	22369	xylan	Modules of approx. 160 residues found mostly at the C-terminus of GH54 catalytic domains. Binding to arabinofuranose (present in arabinoxylan) has been demonstrated.	NA
CBM43	37796	70583	22200	45618	31218	44439	35846	40953	42590	38546	55432	53168	54395	49390	56227	64320	41102	26292	31539	40323	51213	39148	47391	51337	43891	50137	50771	51575	46234	54605	42015	59349	50599	46969	57326	50604	64621	75934	36203	1419	62917	51972	0	45183	54251	36753	45126	47803	62395	62031	52867	58611	59439	55284	68105	68242	76234	67165	63344	32290	27278	66538	48042	42819	56505	55194	64250	40165	52434	34591	57257	39443	53189	46287	61082	57855	55395	45239	47525	55878	45030	45059	52684	48960	57269	62716	53777	44163	56083	60018	57761	58069	38902	58272	31035	68455	47568	50366	50652	60036	46276	40603	40000	28649	38082	31947	62717	47338	42800	54497	54964	70	2	44	38996	beta-glucan	Modules of approx. 90-100 residues found at the C-terminus of GH17 or GH72 enzymatic modules and also sometimes isolated. CBM43 modules sometimes carry a C-terminal membrane anchor. The beta-1,3-glucan binding function has been demonstrated with the olive pollen protein Ole e 10.	NA
CBM44	75	1112	124	136	43	64	69	120	125	120	77	47	72	753	925	912	427	144	192	165	62	40	64	63	21	478	658	442	537	74	531	82	467	89	271	151	386	528	29	3	77	443	0	49	252	124	151	213	74	59	79	69	45	53	180	72	106	75	163	46	74	106	103	23	112	239	317	275	266	111	154	156	190	180	53	225	615	295	660	658	20	48	127	107	81	655	47	485	54	58	91	394	95	344	215	44	376	337	109	208	154	187	69	31	138	57	300	116	137	60	130	0	0	0	58	cellulose, xyloglucan	The C-terminal CBM44 module of the Clostridium thermocellum enzyme has been demonstrated to bind equally well cellulose and xyloglucan	NA
CBM45	1846	2786	762	577	846	1289	731	953	1366	1141	1267	1742	2037	2018	1638	2923	1646	807	1318	1094	1163	1067	988	1169	1257	1878	2434	2473	2413	1171	1292	1140	1523	933	2845	2597	3480	3921	1314	62	2804	1655	0	1759	1824	1353	1645	1523	1317	1177	901	1318	1340	1251	1872	2259	3109	3164	2740	627	464	2167	1246	701	1352	3548	5168	1438	2851	1010	2224	1538	2192	1353	1572	2593	2502	2344	1540	1751	1311	1401	1081	2642	1220	3256	1048	2838	1005	1091	1017	2900	1473	2269	509	1637	1294	1194	657	1176	867	1495	648	406	958	569	2400	2406	1144	1916	1207	6	0	4	871	starch	Modules of approx. 100 residues, found at the N-terminus of plastidial alpha-amylases and of alpha-glucan, water dikinases. Starch-binding activity demonstrated in the case of potato alpha-glucan, water dikinase.	NA
CBM46	27	2	20	71	49	302	21	8	58	81	383	251	338	9	24	26	3	3	2	18	206	132	260	203	114	58	18	233	39	92	53	327	25	247	23	16	14	11	37	1	107	47	0	94	1	1	11	4	36	38	3	19	55	43	60	117	60	53	105	17	5	50	14	26	25	45	58	46	1	83	9	1	9	2	43	0	0	2	3	1	16	8	6	19	38	19	380	46	456	421	327	2	0	6	1	62	13	7	53	159	77	88	38	29	134	79	16	20	56	66	87	0	0	0	272	cellulose	Modules of approx. 100 residues, found at the C-terminus of several GH5 cellulases. Cellulose-binding function demonstrated in one case.	NA
CBM47	16096	33553	8105	28693	10667	20065	11459	13194	14182	14252	30340	27889	28378	21120	22353	26215	18850	9470	13876	14503	24019	19476	22461	24440	21559	23015	20322	24628	18773	30447	17727	26080	19371	20691	25892	20278	28878	31207	14672	676	29985	21572	0	21648	21974	13508	17160	18053	27342	26725	22611	25031	23531	23599	30580	27719	31498	29287	27813	12118	9509	26852	21053	15648	21930	21748	26971	16750	21270	12369	19526	16928	22593	18897	23892	22921	22733	18321	18995	23330	17576	17703	22027	22338	21983	31787	22663	16485	22962	24150	23077	22143	15176	22248	7992	26699	18684	21868	31367	36435	27765	20820	21178	10975	23370	14426	27012	19296	18178	24068	25430	25	0	14	20835	fucose	Modules of approx 150 residues. Fucose-binding activity demonstrated	NA
CBM48	154457	320541	80767	219252	98532	173832	106810	145273	160128	143375	253755	250052	244178	228076	255103	299543	185109	111775	145838	156767	240808	184379	215469	236040	244716	224279	217533	231048	213310	252862	181609	251595	196449	195956	249492	215772	280912	331849	147333	6789	273398	216609	3	188074	245603	156241	202771	205158	263443	256620	218498	249205	259677	236832	269771	272652	311679	287655	263659	128406	100280	283634	192757	184189	232272	256305	273763	187153	204474	134896	214199	156459	234021	202343	266344	252191	246320	199869	191883	230268	189379	193286	237977	233990	260732	264559	226053	186222	233076	248937	238652	253771	149985	266243	90604	290565	191251	192814	245372	283788	215414	196021	192961	95017	133260	131856	249342	174512	178414	226544	233877	279	0	217	178743	glycogen	Modules of approx. 100 residues with glycogen-binding function, appended to GH13 modules. Also found in the beta subunit (glycogen-binding) of AMP-activated protein kinases (AMPK)	NA
CBM49	0	408	14	0	44	0	60	2	3	11	0	0	0	4	2	1	9	4	4	8	0	0	0	0	0	0	0	0	0	0	16	0	0	0	4	9	22	12	6	0	0	5	0	1	8	6	4	2	570	313	624	333	6	614	5	16	2	8	2	11	10	66	34	9	5	0	3	9	413	16	112	7	4	10	7	7	30	14	26	37	15	12	5	21	1	0	0	0	0	0	0	11	10	8	5	6	4	0	0	0	0	0	2	23	0	4	251	1	26	39	81	0	0	0	0	cellulose	Modules of approx. 100 residues found at the C-terminus of plant GH9 enzymes. Distantly related to CBM2 modules. Binding to crystalline cellulose demonstrated in the case of Solanum lycopersicum Cel8 enzyme (SlCel9C1).	NA
CBM5	45813	78520	19032	62842	22983	42938	27068	34079	37442	34793	68507	62004	65299	57130	61259	76147	50442	26008	40530	39096	58555	44182	51642	56075	56204	54033	56333	60516	51544	67516	51195	59513	45811	46116	57790	49349	66990	76085	36036	1772	68163	47868	0	44739	55651	38632	52712	52472	81172	77383	67620	77054	74325	71947	65913	67192	78795	71926	69942	29537	21982	67970	43683	52110	53747	61433	61136	41777	55746	34088	58355	37415	56904	50585	79596	62790	57841	48862	43792	53247	51683	52411	59909	67053	75029	67707	53479	46766	57410	59245	55284	57632	36649	60998	18806	75191	42544	42792	70605	81438	60844	49357	52194	22321	33514	33881	70761	56928	46799	58027	56391	66	0	65	47905	chitin	Modules of approx. 60 residues found in bacterial enzymes. Chitin-binding described in several cases. Distantly related to the CBM12 family.	NA
CBM50	378852	798261	188503	545904	243302	437706	310872	397253	415796	381550	640711	621170	613028	554779	621428	747620	449125	239292	348950	396040	581245	440666	524637	572063	568136	587700	545582	592263	546175	650234	426991	636332	519615	498517	622552	542353	676285	815872	352787	16233	720918	508898	15	505764	531761	334149	451362	461087	654575	622047	541489	606426	657694	576211	654455	678945	772520	705299	677411	275280	209752	644599	437813	422592	516707	600681	640326	426866	502303	307296	502873	391249	583626	473220	670512	623111	608188	491717	457646	561031	457977	461748	542186	568440	659912	683772	546011	477929	571045	603498	591357	608158	375907	625404	220677	696968	445983	460904	611054	704670	530401	468208	471683	253399	335350	331867	602092	455601	424996	554008	537590	746	5	495	450707	chitin, peptidoglycan	Modules of approx. 50 residues found attached to various enzymes from families GH18, GH19, GH23, GH24, GH25 and GH73, i.e. enzymes cleaving either chitin or peptidoglycan. Binding to chitopentaose demonstrated in the case of Pteris ryukyuensis chitinase A [Ohnuma T et al. (2008) J. Biol. Chem. 283:5178-87 (PMID: 18083709)]. CBM50 modules are also found in a multitude of other enzymes targeting the petidoglycan such as peptidases and amidases. These enzymes are not reported in the list below.	NA
CBM51	38174	77007	21674	43323	29477	42454	41974	35531	36129	32881	59143	60243	59314	53520	56913	68099	43868	20733	32725	38592	52051	41088	47165	51050	50214	57129	58069	59498	56007	51742	44041	59456	54797	47340	67185	50992	67959	76362	33304	1550	76771	53447	0	48363	43706	27826	37029	41851	61917	60012	51306	58446	57343	56463	71402	72699	80649	76655	69305	27992	22199	68300	50574	36113	53164	54287	64324	39979	52987	32698	49709	62271	56500	44787	61979	58669	60586	50850	46681	57318	45701	43916	50201	51336	59358	70764	47008	48162	48581	51951	51834	57487	67607	57425	63953	62914	47111	53116	48918	57740	45902	47109	38138	22875	54363	29036	58255	46844	44121	59965	58876	56	0	55	40869	host glycan	Modules of approx. 150 residues found attached to various enzymes from families GH2, GH27, GH31, GH95, GH98 and GH101 . Binding to galactose and to blood group A/B-antigens demonstrated in the case of C. perfringens GH95CBM51 and GH98CBM51 respectively [Gregg KJ et al. (2008) J. Biol. Chem. 283:12604-13 PMID: 18292090].	NA
CBM52	155	592	65	1639	170	495	267	80	157	144	1213	1074	1086	251	211	390	129	34	82	200	1347	346	972	448	974	802	970	836	898	977	222	505	434	363	476	351	312	376	453	29	950	269	0	503	263	144	179	209	391	560	440	375	875	434	687	658	588	693	549	507	303	1389	793	389	701	135	231	199	325	120	403	221	266	292	1034	599	420	389	282	282	386	447	765	622	907	156	1734	728	1536	1527	1252	707	354	447	198	1115	95	117	1844	1784	1342	1240	672	231	326	287	404	146	594	701	623	1	0	0	832	beta-glucan	Modules of approx. 60 residues attached to a few GH81 enzymes but present in other proteins. Binding to beta-1,3-glucan demonstrated for Schizosaccharomyces pombe 972h- endo-1,3-beta-glucanase Eng1 [Martin-Quadrado et al., Mol. Microbiol. (2008) 69:188-200 PMID:18466295]	NA
CBM53	1	2	0	10	19	14	95	1	5	1	14	9	10	0	2	0	7	2	3	2	1	2	1	3	1	0	0	0	0	16	16	1	1	0	8	2	9	10	2	0	1	18	0	1	9	5	11	7	13	16	55	53	32	16	28	22	17	0	6	3	0	3	5	6	2	0	0	1	0	1	3	0	0	3	29	0	2	0	0	1	4	3	17	2	22	2	0	0	0	0	0	1	1	0	0	11	5	1	9	15	7	8	1	0	3	0	0	2	2	12	342	0	0	0	9	starch	Starch-binding function demonstrated by Valdez et al. (2008) [PMID: 18260645]	NA
CBM54	4775	9354	2050	3809	2587	3857	1934	3318	4064	3515	4633	5922	5702	5612	6208	8076	5151	2359	3821	3991	5178	4214	4521	5316	4949	5301	6258	5899	5807	4530	5899	6049	5374	4251	8188	5978	8321	10435	3487	131	7088	5044	0	4384	5136	2949	3823	4064	10647	9588	8608	10065	9399	8368	10294	10192	12594	9755	9360	4394	2987	9265	6482	7022	7043	7787	8988	4987	6237	3373	8070	6078	5700	5303	9631	7050	6001	5195	4317	6313	5131	5054	6355	6704	8778	9166	5046	7172	5669	5863	4975	5189	7176	4967	6451	10915	5424	5259	4425	5547	4131	5735	4192	2314	2877	3676	7507	5296	6262	7306	7312	0	0	8	3246	xylan, beta-glucan, chitin	Binding to xylan, yeast cell wall glucan and chitin shown in Dvortsov et al., Microbiology UK (2009) in press.	NA
CBM56	2134	3112	933	3152	2195	2214	3808	4109	3210	2472	2827	4460	3701	2490	3170	3856	2178	1414	1936	2225	2777	2193	2358	2700	2798	4661	3231	4350	3971	3342	2457	3293	2329	2232	3616	3147	3245	4068	1967	81	4872	2293	0	4001	2612	1548	2851	2415	3638	3022	2272	3209	3286	3228	3883	3863	4423	4471	4686	1413	1120	3071	2346	2755	1980	2525	2905	2073	2793	1492	2508	2559	4317	2785	3578	4375	3708	3216	2588	2657	2495	2658	3144	2866	3272	4047	2064	2876	2069	2196	3484	3623	2435	4509	1224	3300	2277	2280	3703	4174	3176	3244	3754	1401	2102	2008	3463	2472	2369	3649	3908	7	0	2	2051	beta-glucan	beta-1,3-glucan binding function demonstrated by Yamamoto et al. (1998) FEBS Letters 433:41-43 [PMID: 9738929]	NA
CBM57	36734	79608	18086	46536	23364	37136	38569	29758	36059	36905	56285	53892	52210	47192	53561	60744	38552	19191	27402	33760	46382	33090	40276	42693	44572	52447	48703	52441	44517	51079	38882	50670	50269	43349	52240	45334	67235	73778	26888	1102	52399	51999	1	36557	35603	24464	36121	39204	74315	67143	58879	67994	62837	63049	60391	62481	70094	62845	58158	28534	20274	72010	51268	40533	56511	52152	59954	36098	48673	28360	43485	35449	48115	37154	64468	52129	53168	41909	38193	50119	35271	36692	44168	46045	61976	65757	41107	43817	42885	44345	46436	46327	34361	44766	19287	70490	49262	55241	51937	60598	47284	47224	38840	21487	40795	25570	59673	44009	43777	50914	48069	54	0	31	38614	glycosidases	Created from reading Schallus et al (2008) Mol Biol Cell. 19:3404-3414 [PMID: 18524852] and finding related domains attached to various glycosidases.	NA
CBM59	7	133	30	1	10	25	3	7	37	29	13	4	8	66	119	137	55	22	30	9	10	41	27	67	7	1	7	2	0	27	14	119	47	59	86	22	44	133	21	3	47	10	0	20	109	33	34	67	16	34	21	28	21	13	52	21	16	22	9	12	6	21	16	9	628	57	56	40	29	6	32	49	72	50	10	78	85	126	118	181	16	43	155	16	12	0	0	4	2	7	0	264	66	254	76	36	29	52	0	1	1	1	15	3	13	7	12	2	79	10	89	0	0	0	2	mannan, xylan, and cellulose	Binding to mannan, xylan, and cellulose demonstrated for the CBM59 of ManF-X10 xylanase from an environmental genomic DNA library (Li et al. (2009) World Journal of Microbiology and Biotechnology 25:2071-2078,doi:10.1007/s11274-009-0111-6)	NA
CBM6	44810	85688	21580	49635	32367	46183	40714	49179	45405	40509	63356	58594	57118	58161	62173	71471	45945	26782	36884	39976	57351	38851	50028	52208	52279	55320	50362	55657	52872	65365	48987	59980	50640	45688	70706	64887	78260	96384	30416	1195	61478	56754	1	39752	50044	36721	48106	45599	57194	54142	46734	51029	52792	51513	62159	64942	70378	67575	61268	26899	21024	58137	42319	37548	44352	62894	72418	43442	56759	34497	57914	40161	52056	42859	55991	56475	67069	52524	46474	60189	38023	41749	49820	57939	53992	84221	44207	44151	44995	48118	48196	58692	41706	55593	27574	54400	51425	55005	58167	65398	50049	47749	57169	30201	42918	35056	66954	47417	40308	53104	50459	44	2	30	44433	beta-glucan, xylan, cellulose	Modules of approx. 120 residues. The cellulose-binding function has been demonstrated in one case on amorphous cellulose and beta-1,4-xylan. Some of these modules also bind beta-1,3-glucan, beta-1,3-1,4-glucan, and beta-1,4-glucan.	NA
CBM60	1218	4044	957	812	999	1460	1115	1611	2273	2221	1214	1168	1083	2609	3014	2683	1850	1352	1356	1978	1758	1605	1738	2092	984	2934	3038	2431	2543	1160	2488	2264	2365	1659	2423	2241	2366	2615	1496	54	3090	2273	0	2196	2580	2409	2633	2416	3566	3202	2985	3291	2052	3145	3673	3130	3661	2802	3026	1334	994	4129	2828	974	4119	1459	1273	1505	1588	1182	1314	2705	3845	2574	2159	3657	2433	2206	2900	3719	1823	1890	2663	1458	1743	1764	2273	2944	2269	2581	2586	2917	1649	2835	1517	2369	2618	2886	914	1251	903	1475	1148	866	1539	1001	2467	1193	2347	2314	3430	1	0	5	748	xylan	Modules of approx 120 residues usually found appended to xylanases. The xylan-binding function and the relatedness (circular permutation) to family CBM36 has been demonstrated [PMID: 20659893].	NA
CBM61	11460	28860	4943	13189	5998	10202	6014	6170	8242	7392	15978	16581	16560	16471	19824	22731	12263	5406	8595	10234	14861	11191	12647	13668	15584	17245	16326	18532	15823	16963	14426	15174	14149	12298	19809	18037	26377	29382	12393	608	24920	19823	0	16767	9468	6152	9403	8239	23096	16794	17112	20997	22513	20764	29080	24333	28563	24049	23560	11439	9213	27636	18412	14023	23587	20260	22443	14968	17357	9251	12982	10188	15106	13312	20934	16914	19189	15306	13118	18135	14805	15503	19302	17354	21055	21747	15291	12901	15666	16697	17861	17513	10833	15384	5668	27261	13297	13197	14975	17143	13680	14742	11736	4752	8325	8247	18570	13417	14079	18343	19163	28	0	25	10793	beta-galactan	Modules of approx. 150 residues found appended to GH16, GH30, GH31, GH43, GH53 and GH66 catalytic domains. A beta-1,4-galactan binding function has been demonstrated for the CBM61 of Thermotoga maritima GH53 galactanase [PMID: 20826814].	NA
CBM62	3303	12484	1703	4960	2059	2990	1852	3234	2978	2691	5357	5640	5919	7560	7150	9971	6291	3294	5316	3197	4352	4730	4287	5372	3844	7055	7915	7562	6470	6325	4309	5289	4728	4101	6480	6078	7726	8947	1967	37	3621	5009	0	2479	8136	5847	10094	6594	8189	9889	8376	7206	5616	7600	4985	6112	6677	6731	5352	2989	1796	6365	4975	5801	5085	6612	8557	4978	6979	3641	6454	4372	6828	5585	6035	7241	9600	7381	6041	6001	3471	3697	6085	7423	5653	7344	4426	5153	4644	5020	4469	8705	3766	10110	3105	5789	5135	5624	5337	6607	4857	4514	3839	1393	3947	2734	8359	3520	4179	4534	4884	1	0	3	3786	xyloglucan, arabinogalactan and galactomannan	The CBM62 module of Clostridium thermocellum Cthe_2193 protein binds galactose moieties found on xyloglucan, arabinogalactan and galactomannan.	NA
CBM63	504	597	139	1268	232	1062	112	168	303	325	1461	1031	1152	512	433	559	390	323	273	206	975	617	1004	1072	1242	538	453	380	400	1899	548	1646	297	1145	1205	1144	831	745	840	36	985	448	0	714	389	164	176	220	360	427	372	468	1103	518	873	466	1113	742	1101	262	200	855	619	420	740	326	325	447	434	387	258	1082	1686	1056	868	1374	818	539	503	589	1069	1066	793	499	1216	566	1032	698	1028	1147	1024	1136	831	1564	344	1145	303	306	1392	1558	1036	667	1392	150	360	327	712	679	371	818	385	5	0	1	1115	cellulose	The CBM63 module of Bacillus subtilis expansin EXLX1 has been shown to bind cellulose.	NA
CBM64	128	948	66	244	49	266	42	15	91	60	280	591	505	648	927	685	383	147	234	325	213	163	225	268	135	909	302	628	835	600	463	230	48	153	326	282	846	778	353	14	1470	836	0	1751	558	162	226	303	942	803	696	862	350	595	295	1610	482	1732	1141	244	116	443	426	177	282	492	499	469	531	212	251	280	423	325	383	604	508	372	409	598	158	199	300	536	305	332	332	113	306	346	238	933	359	733	341	351	527	527	304	369	244	447	167	57	139	117	354	166	382	638	272	0	0	0	187	cellulose	Module found at C-term of several Spirochaeta thermophila proteins. Binding to cellulose shown by Angelov, Loderer, Pompei Liebl (2011) AEM, 77:5483-5489 [PMID - 21685171]	NA
CBM66	27818	52234	12224	38322	17134	29586	23351	22838	24902	23849	45123	43272	43381	39761	42926	52945	30002	13873	22800	25339	38453	33520	34719	40622	31639	41707	40077	43244	37660	41745	27629	42946	36316	33025	43167	35939	44871	54910	21049	906	43390	35993	1	30314	32359	20602	26866	30779	37399	32762	29929	33844	40287	33036	42447	45603	50529	48213	45541	17348	12108	41628	28102	25589	30357	46198	50501	28739	40255	21290	40448	31822	42213	32219	43169	44481	40745	32688	27630	37150	30358	28977	34277	37290	41888	51376	34001	33889	36968	39071	39458	39814	31235	40463	18813	41188	32894	38499	42859	47585	36262	34081	32312	14823	25759	22018	38374	33232	25533	35725	34475	36	0	31	31622	fructan	The CBM66 module, derived from the Bacillus subtilis exo-acting beta-fructosidase SacC, targets the terminal fructoside residue of fructans.	NA
CBM67	14828	26285	7490	13030	8953	13292	9348	12478	12901	12723	21635	20457	21713	15977	18489	22455	13780	6986	9319	13889	19150	13968	17148	17448	18787	21153	22147	20767	20139	14943	14770	18888	19348	16221	26490	19121	27373	29385	11439	428	23548	18588	0	15909	13153	8281	11660	10734	18921	18255	15664	17270	20519	17243	27012	26203	28664	27966	24405	10354	8317	25070	18491	14765	18214	23169	29910	14765	18084	11712	15820	12912	17031	13623	22535	17899	18871	15395	15518	18645	14658	14078	15862	15010	21375	28770	16264	18650	16982	17467	21155	18281	12656	18239	6306	22114	14368	18178	14459	18525	14472	19121	13740	8016	26566	10121	21351	18475	15444	23280	21547	25	0	12	14319	rhamnose	Fujimoto et al. [PMID : 23486481] disclosed the L-rhamnose binding activity and 3-D structure of the CBM67 of Streptomyces avermitilis alpha-L-rhamnosidase (SaRha78A)	NA
CBM68	54	583	1	45	0	32	0	0	2	1	47	50	42	425	429	747	250	19	121	30	6	9	4	6	5	25	42	24	29	25	56	2	4	3	95	39	133	145	11	0	76	147	0	45	29	3	3	20	39	14	25	20	59	31	91	76	96	90	62	7	3	28	15	18	11	71	41	19	25	5	7	77	108	30	115	233	110	170	71	66	60	52	58	204	31	68	5	25	7	2	1	10	18	1	0	74	88	9	32	49	35	26	45	0	2	10	106	47	27	38	18	0	0	0	37	starch	Binding to maltotriose and maltotetraose shown for the pullulanase of Anoxybacillus sp. LM18-11. Binding function derived from crystal structure and deletion of the CBM, which showed reduced specific activity and increased Km value compared to the wild type enzyme.	NA
CBM70	6	0	0	34	113	21	106	3	8	22	14	10	8	4	7	36	8	3	4	7	5	6	7	10	1	5	7	3	0	33	12	9	9	4	24	18	35	38	31	0	32	4	0	6	3	1	1	0	306	229	320	390	7	173	4	5	2	13	0	3	1	6	9	12	1	281	291	12	2	1	0	8	56	128	6	12	7	15	4	6	2	8	2	1	11	0	0	1	0	1	0	148	57	44	38	7	1	83	33	58	42	19	32	2	102	35	7	0	33	51	3	0	0	0	9	host glycan	The hyaluronan-specific binding function of the N-terminal CBM70 module of Streptococcus pneumoniae hyaluronate lyase has been demonstrated.	NA
CBM71	30	0	11	0	0	0	0	1	2	2	1	22	13	5	2	1	7	17	17	89	5	0	2	1	0	56	63	55	87	10	25	1	39	1	47	36	16	29	3	0	25	104	0	20	5	8	6	2	5	1	3	3	17	12	15	49	54	55	39	6	1	41	15	2	11	2	0	2	32	17	21	1	10	3	23	4	12	11	15	13	16	8	4	1	8	1	0	24	0	1	1	1	6	2	0	14	34	44	2	0	7	56	2	0	0	6	56	33	39	35	3	0	0	0	0	host glycan	The two CBM71s of S. pneumoniae BgaA bind lactose and LacNAc.	NA
