"Annotation","sequencing_id","reads","Sum","relabund","resampled_reads","resampled_sum","resampled_relabund","relabund_diff","sample","extract_ID","tag","extraction_day","sample_mg","conc_ngul","X260.280","X260.230","notes","sample_id","LIMS_ID","top_emitters","rank","variable_emitters","species","species_s","range","range_rank","ID_measurement","flux.CH4","avg_respT","wall_thickness_mm","resampled_relabund_scaled"
"pmoA-amoA; methane/ammonia monooxygenase subunit A [EC:1.14.18.3 1.14.99.39]","A63",118,15752863,7.4907018489274e-06,50,6913446,7.23228329258665e-06,2.58418556340749e-07,"MD42","MD42-3-mid",63,"22/11/2022",276,155.9,1.88,1.34,NA,"AB063","POW13003A63","y","bottom",NA,"A. laurensis","A. laurensis",984.65402862995,8,"MD42-3",1794.60293587085,34.5666666666667,9.28,0.337183568478213
"pmoA-amoA; methane/ammonia monooxygenase subunit A [EC:1.14.18.3 1.14.99.39]","A64",48,18470152,2.5987874923823e-06,29,6913446,4.19472430970026e-06,-1.59593681731795e-06,"MD43","MD43-1-mid",64,"22/11/2022",235,44,1.96,1.35,NA,"AB064","POW13003A64","y","top",NA,"C. acinaciformis","C. acinaciformis",3783.43452407454,6,"MD43-1",5945.88531334816,38.8333333333333,NA,-0.614431244474763
"pmoA-amoA; methane/ammonia monooxygenase subunit A [EC:1.14.18.3 1.14.99.39]","A65",44,11374909,3.86816281343438e-06,18,6913446,2.60362198533119e-06,1.26454082810318e-06,"MD43","MD43-2-low",65,"22/11/2022",236,63.6,1.98,1.68,NA,"AB065","POW13003A65","y","top",NA,"C. acinaciformis","C. acinaciformis",3783.43452407454,6,"MD43-2",4669.31268742936,37.4333333333333,NA,-0.367502073056642
"pmoA-amoA; methane/ammonia monooxygenase subunit A [EC:1.14.18.3 1.14.99.39]","A66",37,18848761,1.96299374797102e-06,10,6913446,1.44645665851733e-06,5.16537089453691e-07,"MD43","MD43-5-top",66,"22/11/2022",252,38.3,1.94,1.23,NA,"AB066","POW13003A66","y","top",NA,"C. acinaciformis","C. acinaciformis",3783.43452407454,6,"MD43-5",5715.92243187116,36.2666666666667,NA,-0.738110994582228
"pmoA-amoA; methane/ammonia monooxygenase subunit A [EC:1.14.18.3 1.14.99.39]","A67",175,14400973,1.21519566768162e-05,80,6913446,1.15716532681386e-05,5.80303408677575e-07,"MD45","MD45-1-mid",67,"22/11/2022",243,47.3,1.96,1.32,NA,"AB067","POW13003A67",NA,NA,"y","A. laurensis","A. laurensis",2120.37177578795,5,"MD45-1",2386.56100653832,37.2333333333333,NA,1.24392862120646
"pmoA-amoA; methane/ammonia monooxygenase subunit A [EC:1.14.18.3 1.14.99.39]","A68",226,21228924,1.06458527996991e-05,75,6913446,1.084842493888e-05,-2.02572139180846e-07,"MD45","MD45-2-mid",68,"23/11/2022",247,37.7,1.96,1.45,NA,"AB068","POW13003A68",NA,NA,"y","A. laurensis","A. laurensis",2120.37177578795,5,"MD45-2",4043.90035240105,37,NA,0.950949093183258
"pmoA-amoA; methane/ammonia monooxygenase subunit A [EC:1.14.18.3 1.14.99.39]","A69",112,17709676,6.32422637206914e-06,50,6913446,7.23228329258665e-06,-9.08056920517504e-07,"MD45","MD45-3-low",69,"23/11/2022",249,79,1.78,0.47,NA,"AB069","POW13003A69",NA,NA,"y","A. laurensis","A. laurensis",2120.37177578795,5,"MD45-3",1980.06807317474,34.7666666666667,NA,0.110271308405725
"pmoA-amoA; methane/ammonia monooxygenase subunit A [EC:1.14.18.3 1.14.99.39]","A6",20,24719138,8.09089702076181e-07,5,6913446,7.23228329258665e-07,8.58613728175159e-08,"MD11","MD11-3-mid",6,"21/11/2022",278,47.5,2.23,0.19,NA,"AB006","POW13003A6","y","top","y","N. magnus","N. magnus",11744.0457111458,3,"MD11-3",5386.76040168019,30.0666666666667,13.72,-0.962577758055048
"pmoA-amoA; methane/ammonia monooxygenase subunit A [EC:1.14.18.3 1.14.99.39]","A70",280,22795562,1.22830926475952e-05,96,6913446,1.38859839217664e-05,-1.60289127417119e-06,"MD45","MD45-4-low",70,"23/11/2022",236,26.3,2.05,1.17,NA,"AB070","POW13003A70",NA,NA,"y","A. laurensis","A. laurensis",2120.37177578795,5,"MD45-4",1923.5285766131,35.9,NA,1.26943825265315
"pmoA-amoA; methane/ammonia monooxygenase subunit A [EC:1.14.18.3 1.14.99.39]","A71",78,22126967,3.52511033256388e-06,25,6913446,3.61614164629332e-06,-9.10313137294445e-08,"MD47","MD47-1-mid",71,"23/11/2022",234,58.9,1.87,1.07,NA,"AB071","POW13003A71",NA,NA,"y","A. laurensis","A. laurensis",2304.32892406911,4,"MD47-1",4929.54168495066,31.7,NA,-0.434235420908461
"pmoA-amoA; methane/ammonia monooxygenase subunit A [EC:1.14.18.3 1.14.99.39]","A72",85,17845342,4.76314771664225e-06,32,6913446,4.62866130725546e-06,1.34486409386792e-07,"MD47","MD47-2-low",72,"23/11/2022",255,44.4,1.91,0.27,NA,"AB072","POW13003A72","y","top","y","A. laurensis","A. laurensis",2304.32892406911,4,"MD47-2",2937.79475855891,31.3666666666667,NA,-0.193402358877795
"pmoA-amoA; methane/ammonia monooxygenase subunit A [EC:1.14.18.3 1.14.99.39]","A73",91,16681616,5.45510698723673e-06,33,6913446,4.77330697310719e-06,6.8180001412954e-07,"MD47","MD47-3-mid",73,"23/11/2022",272,62.6,1.97,0.65,NA,"AB073","POW13003A73","y","top","y","A. laurensis","A. laurensis",2304.32892406911,4,"MD47-3",3391.00091627658,31.0666666666667,NA,-0.0587968355867265
"pmoA-amoA; methane/ammonia monooxygenase subunit A [EC:1.14.18.3 1.14.99.39]","A74",196,20090400,9.75590331700713e-06,68,6913446,9.83590527791784e-06,-8.0001960910715e-08,"MD47","MD47-4-low",74,"23/11/2022",266,66.9,1.76,0.73,NA,"AB074","POW13003A74","y","top","y","A. laurensis","A. laurensis",2304.32892406911,4,"MD47-4",2625.21276088155,30.9666666666667,NA,0.777828909798106
"pmoA-amoA; methane/ammonia monooxygenase subunit A [EC:1.14.18.3 1.14.99.39]","A75",24,16662396,1.4403690801731e-06,5,6913446,7.23228329258665e-07,7.17140750914439e-07,"MD50","MD50-2-low",75,"23/11/2022",245,31.4,1.77,0.62,NA,"AB075","POW13003A75","y","top",NA,"N. magnus","N. magnus",7843.34626577267,7,"MD50-2",4869.01219160993,38.9666666666667,13.93,-0.839776179056628
"pmoA-amoA; methane/ammonia monooxygenase subunit A [EC:1.14.18.3 1.14.99.39]","A76",28,16896150,1.65718225749653e-06,10,6913446,1.44645665851733e-06,2.107255989792e-07,"MD50","MD50-3-low",76,"23/11/2022",256,28,1.72,0.51,NA,"AB076","POW13003A76","y","top",NA,"N. magnus","N. magnus",7843.34626577267,7,"MD50-3",5213.39926957414,36.4666666666667,12.36,-0.797599923270726
"pmoA-amoA; methane/ammonia monooxygenase subunit A [EC:1.14.18.3 1.14.99.39]","A77",91,20256198,4.49245213736556e-06,32,6913446,4.62866130725546e-06,-1.36209169889895e-07,"MD50","MD50-4-mid",77,"23/11/2022",250,54,1.77,0.49,NA,"AB077","POW13003A77","y","top",NA,"N. magnus","N. magnus",7843.34626577267,7,"MD50-4",7304.03195051612,34.2666666666667,11.8,-0.246060256025142
"pmoA-amoA; methane/ammonia monooxygenase subunit A [EC:1.14.18.3 1.14.99.39]","A78",384,21021410,1.82670905519658e-05,140,6913446,2.02503932192426e-05,-1.98330266727679e-06,"MD51","MD51-2-low",78,"23/11/2022",244,69.7,1.67,0.52,NA,"AB078","POW13003A78","y","top","y","N. magnus","N. magnus",9566.0615301765,5,"MD51-2",6340.32676408928,35.4333333333333,NA,2.43349400494976
"pmoA-amoA; methane/ammonia monooxygenase subunit A [EC:1.14.18.3 1.14.99.39]","A7",22,23942220,9.1887886754027e-07,5,6913446,7.23228329258665e-07,1.95650538281605e-07,"MD11","MD11-4-low",7,"21/11/2022",260,53.3,1.95,0.48,NA,"AB007","POW13003A7",NA,NA,"y","N. magnus","N. magnus",11744.0457111458,3,"MD11-4",14782.7125955624,31.7,19.55,-0.941220680121418
"pmoA-amoA; methane/ammonia monooxygenase subunit A [EC:1.14.18.3 1.14.99.39]","A80",18,25164593,7.15290726140494e-07,10,6913446,1.44645665851733e-06,-7.31165932376835e-07,"MD51","MD51-5-top",80,"23/11/2022",243,21.1,1.96,1.16,NA,"AB080","POW13003A80","y","top","y","N. magnus","N. magnus",9566.0615301765,5,"MD51-5",7592.27480254097,35.2333333333333,NA,-0.980824294775543
"pmoA-amoA; methane/ammonia monooxygenase subunit A [EC:1.14.18.3 1.14.99.39]","A81",125,22143947,5.64488345280089e-06,42,6913446,6.07511796577279e-06,-4.30234512971892e-07,"MD53","MD53-1-mid",81,"23/11/2022",234,261.1,1.89,0.81,NA,"AB081","POW13003A81",NA,NA,"y","C. acinaciformis","C. acinaciformis",5717.19493081712,4,"MD53-1",5762.47978344286,39.2,NA,-0.021879980012774
"pmoA-amoA; methane/ammonia monooxygenase subunit A [EC:1.14.18.3 1.14.99.39]","A82",136,17664076,7.69924223605016e-06,51,6913446,7.37692895843838e-06,3.22313277611779e-07,"MD53","MD53-2-low",82,"23/11/2022",241,160.3,1.96,0.39,NA,"AB082","POW13003A82","y","top","y","C. acinaciformis","C. acinaciformis",5717.19493081712,4,"MD53-2",2891.40038511462,39.2333333333333,NA,0.377750534091472
"pmoA-amoA; methane/ammonia monooxygenase subunit A [EC:1.14.18.3 1.14.99.39]","A83",101,22953715,4.40015918991762e-06,17,6913446,2.45897631947946e-06,1.94118287043816e-06,"MD53","MD53-3-mid",83,"23/11/2022",241,347.6,1.9,1.67,NA,"AB083","POW13003A83",NA,NA,"y","C. acinaciformis","C. acinaciformis",5717.19493081712,4,"MD53-3",45.2848526257388,36.3666666666667,NA,-0.264013827882965
"pmoA-amoA; methane/ammonia monooxygenase subunit A [EC:1.14.18.3 1.14.99.39]","A84",103,24471265,4.20901820972475e-06,26,6913446,3.76078731214506e-06,4.48230897579695e-07,"MD53","MD53-4-low",84,"23/11/2022",245,320.1,1.85,1.4,NA,"AB084","POW13003A84","y","top","y","C. acinaciformis","C. acinaciformis",5717.19493081712,4,"MD53-4",5408.42128147445,32.9333333333333,NA,-0.301196119897241
"pmoA-amoA; methane/ammonia monooxygenase subunit A [EC:1.14.18.3 1.14.99.39]","A85",85,23508691,3.61568408891843e-06,22,6913446,3.18220464873813e-06,4.33479440180308e-07,"MD53","MD53-5-top",85,"23/11/2022",240,362.8,1.87,1.64,NA,"AB085","POW13003A85","y","top","y","C. acinaciformis","C. acinaciformis",5717.19493081712,4,"MD53-5",4070.49431099613,35.3333333333333,NA,-0.416616280030316
"pmoA-amoA; methane/ammonia monooxygenase subunit A [EC:1.14.18.3 1.14.99.39]","A86",55,22270333,2.46965323778499e-06,15,6913446,2.169684987776e-06,2.99968250008999e-07,"MD54","MD54-1-mid",86,"23/11/2022",258,81,1.71,1.65,NA,"AB086","POW13003A86","y","top","y","A. laurensis","A. laurensis",4450.19211678201,2,"MD54-1",8621.6660510025,32.0666666666667,6.6,-0.639551485872699
"pmoA-amoA; methane/ammonia monooxygenase subunit A [EC:1.14.18.3 1.14.99.39]","A87",47,13616660,3.45165407669722e-06,25,6913446,3.61614164629332e-06,-1.64487569596102e-07,"MD54","MD54-2-low",87,"23/11/2022",264,65.6,1.85,0.76,NA,"AB087","POW13003A87","y","top","y","A. laurensis","A. laurensis",4450.19211678201,2,"MD54-2",6198.05715063694,34.6666666666667,6.92,-0.448524726912612
"pmoA-amoA; methane/ammonia monooxygenase subunit A [EC:1.14.18.3 1.14.99.39]","A88",40,22997856,1.73929256709843e-06,7,6913446,1.01251966096213e-06,7.26772906136298e-07,"MD54","MD54-3-mid",88,"23/11/2022",262,69.2,1.73,0.58,NA,"AB088","POW13003A88","y","top","y","A. laurensis","A. laurensis",4450.19211678201,2,"MD54-3",5610.48084711479,33,7.77,-0.781627160622341
"pmoA-amoA; methane/ammonia monooxygenase subunit A [EC:1.14.18.3 1.14.99.39]","A89",48,8258046,5.81251303274407e-06,44,6913446,6.36440929747625e-06,-5.51896264732186e-07,"MD54","MD54-4-low",89,"23/11/2022",250,63.1,1.86,0.59,NA,"AB089","POW13003A89",NA,NA,"y","A. laurensis","A. laurensis",4450.19211678201,2,"MD54-4",10060.6729638968,34.3,2.54,0.0107286839450446
"pmoA-amoA; methane/ammonia monooxygenase subunit A [EC:1.14.18.3 1.14.99.39]","A8",34,26152326,1.30007556498034e-06,10,6913446,1.44645665851733e-06,-1.46381093536991e-07,"MD11","MD11-5-top",8,"21/11/2022",257,6.5,2.25,1.11,"redo","AB008","POW13003A8","y","top","y","N. magnus","N. magnus",11744.0457111458,3,"MD11-5",8624.36275362464,32.1666666666667,15.21,-0.867067210233422
"pmoA-amoA; methane/ammonia monooxygenase subunit A [EC:1.14.18.3 1.14.99.39]","A90",139,16299340,8.52795266556805e-06,62,6913446,8.96803128280744e-06,-4.40078617239391e-07,"MD57","MD57-2-low",90,"23/11/2022",246,88.2,1.91,0.87,NA,"AB090","POW13003A90","y","bottom",NA,"N. magnus","N. magnus",475.97032553897,18,"MD57-2",550.624261241682,37.5333333333333,NA,0.538958000719077
"pmoA-amoA; methane/ammonia monooxygenase subunit A [EC:1.14.18.3 1.14.99.39]","A91",174,16934793,1.02747048635315e-05,75,6913446,1.084842493888e-05,-5.73720075348426e-07,"MD57","MD57-4-low",91,"24/11/2022",252,52,1.94,1.15,NA,"AB091","POW13003A91","y","bottom",NA,"N. magnus","N. magnus",475.97032553897,18,"MD57-4",266.175122028915,35.6333333333333,NA,0.878750389748999
"pmoA-amoA; methane/ammonia monooxygenase subunit A [EC:1.14.18.3 1.14.99.39]","A94",213,24264311,8.77832467610558e-06,65,6913446,9.40196828036264e-06,-6.23643604257066e-07,"MD59","MD59-2-low",94,"24/11/2022",236,177,1.93,1.84,NA,"AB094","POW13003A94","y","top","y","C. acinaciformis","C. acinaciformis",12703.9418657709,1,"MD59-2",12406.0519955776,42.9,23.06,0.587662392621922
"pmoA-amoA; methane/ammonia monooxygenase subunit A [EC:1.14.18.3 1.14.99.39]","A95",202,27745827,7.28037409012894e-06,59,6913446,8.53409428525225e-06,-1.25372019512331e-06,"MD59","MD59-3-mid",95,"24/11/2022",229,201.4,1.83,1.09,NA,"AB095","POW13003A95","y","top","y","C. acinaciformis","C. acinaciformis",12703.9418657709,1,"MD59-3",3018.79250164555,42.7,27.4,0.296268908846034
"pmoA-amoA; methane/ammonia monooxygenase subunit A [EC:1.14.18.3 1.14.99.39]","A96",187,21090031,8.86674846518718e-06,73,6913446,1.05591336071765e-05,-1.69238514198933e-06,"MD59","MD59-4-low",96,"24/11/2022",243,114.1,1.94,1.32,NA,"AB096","POW13003A96",NA,NA,"y","C. acinaciformis","C. acinaciformis",12703.9418657709,1,"MD59-4",1197.65667454039,40.5,51.48,0.604863304447964
"pmoA-amoA; methane/ammonia monooxygenase subunit A [EC:1.14.18.3 1.14.99.39]","A97",88,18335305,4.79948383732913e-06,32,6913446,4.62866130725546e-06,1.70822530073675e-07,"MD59","MD59-5-top",97,"24/11/2022",238,69.5,1.94,1.52,NA,"AB097","POW13003A97","y","top","y","C. acinaciformis","C. acinaciformis",12703.9418657709,1,"MD59-5",4454.25968640822,39.6666666666667,58.21,-0.186333962301183
"pmoA-amoA; methane/ammonia monooxygenase subunit A [EC:1.14.18.3 1.14.99.39]","A98",110,18558144,5.927316869618e-06,40,6913446,5.78582663406932e-06,1.41490235548677e-07,"MD6","MD6-3-mid",98,"24/11/2022",235,174.3,1.9,1.37,NA,"AB098","POW13003A98","y","bottom",NA,"C. acinaciformis","C. acinaciformis",891.768788096314,15,"MD6-3",-126.91570587287,29.8666666666667,NA,0.033061256388162
"pmoA-amoA; methane/ammonia monooxygenase subunit A [EC:1.14.18.3 1.14.99.39]","A99",178,9031293,1.97092487199784e-05,127,6913446,1.83699995631701e-05,1.33924915680833e-06,"MD6","MD6-4-low",99,"24/11/2022",231,76.1,1.82,0.35,NA,"AB099","POW13003A99","y","bottom",NA,"C. acinaciformis","C. acinaciformis",891.768788096314,15,"MD6-4",-116.268277258105,29.5666666666667,NA,2.71403429557561
"pmoA-amoA; methane/ammonia monooxygenase subunit A [EC:1.14.18.3 1.14.99.39]","A9",320,12407935,2.57899481259372e-05,190,6913446,2.74826765118293e-05,-1.69272838589212e-06,"MD14","MD14-1-mid",9,"21/11/2022",249,127.7,2.1,1.1,NA,"AB009","POW13003A9",NA,NA,"y","C. acinaciformis","C. acinaciformis",6477.62487110762,3,"MD14-1",311.871059941526,33.9666666666667,NA,3.89690120739771
"pmoA-amoA; methane/ammonia monooxygenase subunit A [EC:1.14.18.3 1.14.99.39]","A100",78,12348217,6.31670143146982e-06,34,6913446,4.91795263895892e-06,1.3987487925109e-06,"MD6","MD6-5-top",100,"24/11/2022",266,76.6,1.9,1.32,NA,"AB100","POW13003A100","y","bottom",NA,"C. acinaciformis","C. acinaciformis",891.768788096314,15,"MD6-5",136.889054666674,29.3,NA,0.10880749599631
"pmoA-amoA; methane/ammonia monooxygenase subunit A [EC:1.14.18.3 1.14.99.39]","A102",71,22456834,3.16162109048853e-06,18,6913446,2.60362198533119e-06,5.57999105157341e-07,"MD60","MD60-4-low",102,"24/11/2022",230,24.4,1.8,0.8,NA,"AB102","POW13003A102","y","bottom",NA,"N. magnus","N. magnus",4752.78876867963,13,"MD60-4",1071.67523972378,32.8666666666667,NA,-0.504944293120247
"pmoA-amoA; methane/ammonia monooxygenase subunit A [EC:1.14.18.3 1.14.99.39]","A103",356,17006840,2.0932754115403e-05,142,6913446,2.05396845509461e-05,3.93069564456894e-07,"MD60","MD60-5-top",103,"24/11/2022",248,84.6,1.96,2.09,NA,"AB103","POW13003A103","y","bottom",NA,"N. magnus","N. magnus",4752.78876867963,13,"MD60-5",1370.02669788796,32.1,NA,2.95204047744102
"pmoA-amoA; methane/ammonia monooxygenase subunit A [EC:1.14.18.3 1.14.99.39]","A104",97,15757616,6.1557535099218e-06,40,6913446,5.78582663406932e-06,3.69926875852486e-07,"MD62","MD62-1-mid",104,"24/11/2022",232,45.3,1.84,0.47,NA,"AB104","POW13003A104","y","bottom",NA,"N. magnus","N. magnus",6309.97001839184,10,"MD62-1",2893.92209279341,20.0666666666667,NA,0.0774986023616189
"pmoA-amoA; methane/ammonia monooxygenase subunit A [EC:1.14.18.3 1.14.99.39]","A105",58,20649392,2.80879940678157e-06,20,6913446,2.89291331703466e-06,-8.41139102530943e-08,"MD62","MD62-3-mid",105,"24/11/2022",234,34.4,1.72,0.51,NA,"AB105","POW13003A105","y","bottom",NA,"N. magnus","N. magnus",6309.97001839184,10,"MD62-3",419.391754474957,20.5,NA,-0.573578025453959
"pmoA-amoA; methane/ammonia monooxygenase subunit A [EC:1.14.18.3 1.14.99.39]","A106",244,20455543,1.19283071586024e-05,87,6913446,1.25841729291008e-05,-6.55865770498331e-07,"MD62","MD62-4-low",106,"24/11/2022",275,38.9,1.71,0.41,NA,"AB106","POW13003A106","y","bottom",NA,"N. magnus","N. magnus",6309.97001839184,10,"MD62-4",3152.61970264498,21.1,NA,1.20042250500529
"pmoA-amoA; methane/ammonia monooxygenase subunit A [EC:1.14.18.3 1.14.99.39]","A10",220,17584358,1.25111192572399e-05,78,6913446,1.12823619364352e-05,1.2287573208047e-06,"MD14","MD14-2-low",10,"21/11/2022",248,186.4,2.02,1.64,NA,"AB010","POW13003A10",NA,NA,"y","C. acinaciformis","C. acinaciformis",6477.62487110762,3,"MD14-2",391.913195174345,30.9333333333333,NA,1.3137958361409
