"","sequencing_id","pathway","resampled_reads"
"15096","A3","Lipopolysaccharide biosynthesis",20980
"15097","A3","Long-term potentiation",16
"15098","A3","Longevity regulating pathway",9100
"15099","A3","Longevity regulating pathway - multiple species",18309
"15100","A3","Longevity regulating pathway - worm",39602
"15101","A3","Lysine biosynthesis",44266
"15102","A3","Lysine degradation",30316
"15103","A3","Lysosome",17395
"15104","A3","MAPK signaling pathway",41
"15105","A3","MAPK signaling pathway - fly",2964
"15106","A3","MAPK signaling pathway - plant",11019
"15107","A3","MAPK signaling pathway - yeast",6516
"15108","A3","Mannose type O-glycan biosynthesis",1995
"15109","A3","Measles",1588
"15110","A3","Meiosis - yeast",6089
"15111","A3","Melanogenesis",303
"15112","A3","Metabolism of xenobiotics by cytochrome P450",11752
"15113","A3","Methane metabolism",91737
"15114","A3","MicroRNAs in cancer",4459
"15115","A3","Mineral absorption",4435
"15116","A3","Mismatch repair",58909
"15117","A3","Mitophagy - animal",2049
"15118","A3","Mitophagy - yeast",241
"15119","A3","Monobactam biosynthesis",23795
"15120","A3","Morphine addiction",6
"15121","A3","Motor proteins",252
"15122","A3","Mucin type O-glycan biosynthesis",39
"15123","A3","Mycolic acid biosynthesis",17241
"15124","A3","N-Glycan biosynthesis",4725
"15125","A3","NF-kappa B signaling pathway",73
"15126","A3","NOD-like receptor signaling pathway",8573
"15127","A3","Naphthalene degradation",2720
"15128","A3","Natural killer cell mediated cytotoxicity",9
"15129","A3","Necroptosis",27011
"15130","A3","Neomycin, kanamycin and gentamicin biosynthesis",5243
"15131","A3","Neuroactive ligand-receptor interaction",438
"15132","A3","Neurotrophin signaling pathway",25
"15133","A3","Neutrophil extracellular trap formation",522
"15134","A3","Nicotinate and nicotinamide metabolism",59694
"15135","A3","Nitrogen metabolism",67439
"15136","A3","Nitrotoluene degradation",3969
"15137","A3","Non-alcoholic fatty liver disease",5978
"15138","A3","Non-homologous end-joining",26200
"15139","A3","Non-small cell lung cancer",25
"15140","A3","Nonribosomal peptide structures",2845
"15141","A3","Notch signaling pathway",26
"15142","A3","Novobiocin biosynthesis",9601
"15143","A3","Nucleocytoplasmic transport",1004
"15144","A3","Nucleotide excision repair",57999
"15145","A3","O-Antigen nucleotide sugar biosynthesis",56009
"15146","A3","O-Antigen repeat unit biosynthesis",2835
"15147","A3","Olfactory transduction",10
"15148","A3","One carbon pool by folate",43854
"15149","A3","Oocyte meiosis",251
"15150","A3","Osteoclast differentiation",104
"15151","A3","Other carbon fixation pathways",86453
"15152","A3","Other glycan degradation",15373
"15153","A3","Other types of O-glycan biosynthesis",3697
"15154","A3","Oxidative phosphorylation",158146
"15155","A3","Oxytocin signaling pathway",60
"15156","A3","PD-L1 expression and PD-1 checkpoint pathway in cancer",100
"15157","A3","PI3K-Akt signaling pathway",6231
"15158","A3","PPAR signaling pathway",38470
"15159","A3","Pancreatic cancer",1250
"15160","A3","Pancreatic secretion",175
"15161","A3","Pantothenate and CoA biosynthesis",55882
"15162","A3","Parathyroid hormone synthesis, secretion and action",1318
"15163","A3","Parkinson disease",12626
"15164","A3","Pathogenic Escherichia coli infection",4793
"15165","A3","Pathways in cancer",15397
"15166","A3","Pathways of neurodegeneration - multiple diseases",17499
"15167","A3","Penicillin and cephalosporin biosynthesis",8787
"15168","A3","Pentose and glucuronate interconversions",35232
"15169","A3","Pentose phosphate pathway",91554
"15170","A3","Peptidoglycan biosynthesis",67915
"15171","A3","Peroxisome",42581
"15172","A3","Pertussis",1088
"15173","A3","Phagosome",222
"15174","A3","Phenazine biosynthesis",8966
"15175","A3","Phenylalanine metabolism",70681
"15176","A3","Phenylalanine, tyrosine and tryptophan biosynthesis",58704
"15177","A3","Phenylpropanoid biosynthesis",8580
"15178","A3","Phosphatidylinositol signaling system",7118
"15179","A3","Phospholipase D signaling pathway",1198
"15180","A3","Phosphonate and phosphinate metabolism",5972
"15181","A3","Phosphotransferase system (PTS)",3452
"15182","A3","Photosynthesis",29031
"15183","A3","Photosynthesis - antenna proteins",9
"15184","A3","Phototransduction",13
"15185","A3","Phototransduction - fly",36
"15186","A3","Pinene, camphor and geraniol degradation",11217
"15187","A3","Plant hormone signal transduction",17871
"15188","A3","Plant-pathogen interaction",13022
"15189","A3","Platelet activation",3
"15190","A3","Platinum drug resistance",12336
"15191","A3","Polycomb repressive complex",1881
"15192","A3","Polycyclic aromatic hydrocarbon degradation",14155
"15193","A3","Polyketide sugar unit biosynthesis",11957
"15194","A3","Porphyrin metabolism",88546
"15195","A3","Primary bile acid biosynthesis",3756
"15196","A3","Primary immunodeficiency",1939
"15197","A3","Prion disease",7501
"15198","A3","Prodigiosin biosynthesis",22686
"15199","A3","Progesterone-mediated oocyte maturation",1668
"15200","A3","Prolactin signaling pathway",3211
"15201","A3","Propanoate metabolism",64518
"15202","A3","Prostate cancer",1646
"15203","A3","Proteasome",4342
"15204","A3","Protein digestion and absorption",424
"15205","A3","Protein export",68229
"15206","A3","Protein processing in endoplasmic reticulum",10208
"15207","A3","Proteoglycans in cancer",2347
"15208","A3","Proximal tubule bicarbonate reclamation",5737
"15209","A3","Purine metabolism",165467
"15210","A3","Pyrimidine metabolism",81574
"15211","A3","Pyruvate metabolism",117957
"15212","A3","Quorum sensing",287990
"15213","A3","RIG-I-like receptor signaling pathway",211
"15214","A3","RNA degradation",50002
"15215","A3","RNA polymerase",15172
"15216","A3","Rap1 signaling pathway",8
"15217","A3","Ras signaling pathway",1199
"15218","A3","Regulation of actin cytoskeleton",97
"15219","A3","Regulation of lipolysis in adipocytes",332
"15220","A3","Renal cell carcinoma",2644
"15221","A3","Renin secretion",201
"15222","A3","Renin-angiotensin system",2341
"15223","A3","Retinol metabolism",2558
"15224","A3","Retrograde endocannabinoid signaling",4091
"15225","A3","Rheumatoid arthritis",279
"15226","A3","Riboflavin metabolism",26619
"15227","A3","Ribosome",106743
"15228","A3","Ribosome biogenesis in eukaryotes",5078
"15229","A3","SNARE interactions in vesicular transport",227
"15230","A3","Salivary secretion",156
"15231","A3","Salmonella infection",13594
"15232","A3","Secondary bile acid biosynthesis",994
"15233","A3","Selenocompound metabolism",67941
"15234","A3","Serotonergic synapse",3853
"15235","A3","Sesquiterpenoid and triterpenoid biosynthesis",3094
"15236","A3","Shigellosis",4960
"15237","A3","Signaling pathways regulating pluripotency of stem cells",1
"15238","A3","Small cell lung cancer",1238
"15239","A3","Sphingolipid metabolism",20390
"15240","A3","Sphingolipid signaling pathway",1793
"15241","A3","Spinocerebellar ataxia",1833
"15242","A3","Spliceosome",1140
"15243","A3","Staphylococcus aureus infection",396
"15244","A3","Starch and sucrose metabolism",120076
"15245","A3","Staurosporine biosynthesis",489
"15246","A3","Steroid biosynthesis",1026
"15247","A3","Steroid degradation",11831
"15248","A3","Steroid hormone biosynthesis",1593
"15249","A3","Streptomycin biosynthesis",24043
"15250","A3","Styrene degradation",37116
"15251","A3","Sulfur metabolism",62918
"15252","A3","Sulfur relay system",37430
"15253","A3","Synaptic vesicle cycle",209
"15254","A3","Systemic lupus erythematosus",535
"15255","A3","T cell receptor signaling pathway",53
"15256","A3","TGF-beta signaling pathway",186
"15257","A3","Taurine and hypotaurine metabolism",25093
"15258","A3","Teichoic acid biosynthesis",23553
"15259","A3","Terpenoid backbone biosynthesis",39947
"15260","A3","Tetracycline biosynthesis",1002
"15261","A3","Th1 and Th2 cell differentiation",12
"15262","A3","Th17 cell differentiation",1570
"15263","A3","Thermogenesis",24150
"15264","A3","Thiamine metabolism",30570
"15265","A3","Thyroid cancer",48
"15266","A3","Thyroid hormone signaling pathway",16776
"15267","A3","Thyroid hormone synthesis",1953
"15268","A3","Tight junction",364
"15269","A3","Toll and Imd signaling pathway",1706
"15270","A3","Toluene degradation",17414
"15271","A3","Toxoplasmosis",1201
"15272","A3","Transcriptional misregulation in cancer",110
"15273","A3","Tropane, piperidine and pyridine alkaloid biosynthesis",8457
"15274","A3","Tryptophan metabolism",63863
"15275","A3","Tuberculosis",32259
"15276","A3","Two-component system",262398
"15277","A3","Type I diabetes mellitus",10734
"15278","A3","Type I polyketide structures",45
"15279","A3","Type II diabetes mellitus",4442
"15280","A3","Tyrosine metabolism",42615
"15281","A3","Ubiquinone and other terpenoid-quinone biosynthesis",34549
"15282","A3","Ubiquitin mediated proteolysis",469
"15283","A3","VEGF signaling pathway",10
"15284","A3","Valine, leucine and isoleucine biosynthesis",42384
"15285","A3","Valine, leucine and isoleucine degradation",79631
"15286","A3","Vancomycin resistance",30781
"15287","A3","Various types of N-glycan biosynthesis",4055
"15288","A3","Vascular smooth muscle contraction",20
"15289","A3","Vasopressin-regulated water reabsorption",73
"15290","A3","Vibrio cholerae infection",292
"15291","A3","Viral carcinogenesis",5279
"15292","A3","Viral life cycle - HIV-1",195
"15293","A3","Viral myocarditis",1237
"15294","A3","Virion - Bacteriophages T4 and T7",8
"15295","A3","Virion - Hepatitis viruses",441
"15296","A3","Virion - Orthopoxvirus",59
"15297","A3","Vitamin B6 metabolism",27775
"15298","A3","Vitamin digestion and absorption",1
"15299","A3","Wnt signaling pathway",372
"15300","A3","Xylene degradation",12686
"15301","A3","Yersinia infection",85
"15302","A3","Zeatin biosynthesis",2807
"15303","A3","alpha-Linolenic acid metabolism",6724
"15304","A3","beta-Alanine metabolism",26708
"15305","A3","beta-Lactam resistance",32732
"15306","A3","cAMP signaling pathway",4018
"15307","A3","cGMP-PKG signaling pathway",40
"15308","A3","mRNA surveillance pathway",762
"15309","A3","mTOR signaling pathway",438
"15310","A3","p53 signaling pathway",1255
"15311","A30","ABC transporters",308900
"15312","A30","AMPK signaling pathway",9384
"15313","A30","ATP-dependent chromatin remodeling",398
"15314","A30","Acarbose and validamycin biosynthesis",5218
"15315","A30","Acute myeloid leukemia",2
"15316","A30","Adherens junction",155
"15317","A30","Adipocytokine signaling pathway",10004
"15318","A30","Adrenergic signaling in cardiomyocytes",334
"15319","A30","African trypanosomiasis",2751
"15320","A30","Alanine, aspartate and glutamate metabolism",99558
"15321","A30","Alcoholic liver disease",14876
"15322","A30","Alcoholism",3046
"15323","A30","Aldosterone synthesis and secretion",25
"15324","A30","Alzheimer disease",16676
"15325","A30","Amino sugar and nucleotide sugar metabolism",111514
"15326","A30","Aminoacyl-tRNA biosynthesis",117170
"15327","A30","Aminobenzoate degradation",41835
"15328","A30","Amoebiasis",1102
"15329","A30","Amphetamine addiction",2951
"15330","A30","Amyotrophic lateral sclerosis",16623
"15331","A30","Antifolate resistance",13640
"15332","A30","Antigen processing and presentation",2445
"15333","A30","Apelin signaling pathway",162
"15334","A30","Apoptosis",3451
"15335","A30","Apoptosis - fly",4002
"15336","A30","Apoptosis - multiple species",3276
"15337","A30","Arabinogalactan biosynthesis - Mycobacterium",14759
"15338","A30","Arachidonic acid metabolism",133
"15339","A30","Arginine and proline metabolism",70999
"15340","A30","Arginine biosynthesis",71234
"15341","A30","Arrhythmogenic right ventricular cardiomyopathy",22
"15342","A30","Ascorbate and aldarate metabolism",19230
"15343","A30","Atrazine degradation",5539
"15344","A30","Autophagy - animal",527
"15345","A30","Autophagy - other",381
"15346","A30","Autophagy - yeast",1949
"15347","A30","Axon guidance",81
"15348","A30","Axon regeneration",2134
"15349","A30","B cell receptor signaling pathway",32
"15350","A30","Bacterial chemotaxis",30713
"15351","A30","Bacterial invasion of epithelial cells",134
"15352","A30","Bacterial secretion system",73528
"15353","A30","Basal cell carcinoma",67
"15354","A30","Basal transcription factors",2161
"15355","A30","Base excision repair",57767
"15356","A30","Benzoate degradation",73943
"15357","A30","Betalain biosynthesis",3443
"15358","A30","Bile secretion",675
"15359","A30","Biofilm formation - Escherichia coli",36659
"15360","A30","Biofilm formation - Pseudomonas aeruginosa",33305
"15361","A30","Biofilm formation - Vibrio cholerae",25433
"15362","A30","Biosynthesis of 12-, 14- and 16-membered macrolides",244
"15363","A30","Biosynthesis of ansamycins",11241
"15364","A30","Biosynthesis of enediyne antibiotics",8172
"15365","A30","Biosynthesis of siderophore group nonribosomal peptides",4667
"15366","A30","Biosynthesis of type II polyketide backbone",477
"15367","A30","Biosynthesis of type II polyketide products",3646
"15368","A30","Biosynthesis of unsaturated fatty acids",10743
"15369","A30","Biosynthesis of vancomycin group antibiotics",2945
"15370","A30","Biosynthesis of various alkaloids",744
"15371","A30","Biosynthesis of various antibiotics",5339
"15372","A30","Biosynthesis of various other secondary metabolites",171
"15373","A30","Biosynthesis of various plant secondary metabolites",19342
"15374","A30","Biotin metabolism",33874
"15375","A30","Bisphenol degradation",685
"15376","A30","Bladder cancer",360
"15377","A30","Breast cancer",52
"15378","A30","Butanoate metabolism",78482
"15379","A30","C-type lectin receptor signaling pathway",35
"15380","A30","C5-Branched dibasic acid metabolism",26442
"15381","A30","Caffeine metabolism",1439
"15382","A30","Calcium signaling pathway",230
"15383","A30","Caprolactam degradation",18575
"15384","A30","Carbapenem biosynthesis",3406
"15385","A30","Carbohydrate digestion and absorption",270
"15386","A30","Carbon fixation by Calvin cycle",60266
"15387","A30","Cardiac muscle contraction",4020
"15388","A30","Carotenoid biosynthesis",6281
"15389","A30","Cationic antimicrobial peptide (CAMP) resistance",22004
"15390","A30","Cell cycle",780
"15391","A30","Cell cycle - Caulobacter",60177
"15392","A30","Cell cycle - yeast",1524
"15393","A30","Cellular senescence",73
"15394","A30","Central carbon metabolism in cancer",19432
"15395","A30","Chagas disease",2947
"15396","A30","Chemical carcinogenesis - DNA adducts",12572
"15397","A30","Chemical carcinogenesis - reactive oxygen species",32276
"15398","A30","Chemical carcinogenesis - receptor activation",15332
"15399","A30","Chloroalkane and chloroalkene degradation",12758
"15400","A30","Chlorocyclohexane and chlorobenzene degradation",26088
"15401","A30","Cholesterol metabolism",499
"15402","A30","Choline metabolism in cancer",846
"15403","A30","Chronic myeloid leukemia",64
"15404","A30","Circadian rhythm",93
"15405","A30","Circadian rhythm - plant",83
"15406","A30","Citrate cycle (TCA cycle)",63896
"15407","A30","Cobalamin transport and metabolism",15639
"15408","A30","Cocaine addiction",2817
"15409","A30","Collecting duct acid secretion",104
"15410","A30","Colorectal cancer",3374
"15411","A30","Coronavirus disease - COVID-19",1987
"15412","A30","Cushing syndrome",3098
"15413","A30","Cutin, suberine and wax biosynthesis",1902
"15414","A30","Cyanoamino acid metabolism",26776
"15415","A30","Cysteine and methionine metabolism",116800
"15416","A30","Cytoskeleton in muscle cells",6735
"15417","A30","Cytosolic DNA-sensing pathway",248
"15418","A30","D-Amino acid metabolism",37955
"15419","A30","DNA replication",61234
"15420","A30","Degradation of flavonoids",19889
"15421","A30","Diabetic cardiomyopathy",29300
"15422","A30","Dilated cardiomyopathy",13
"15423","A30","Dioxin degradation",4288
"15424","A30","Dopaminergic synapse",3388
"15425","A30","Dorso-ventral axis formation",235
"15426","A30","Drug metabolism - cytochrome P450",16991
"15427","A30","Drug metabolism - other enzymes",41125
"15428","A30","ECM-receptor interaction",1
"15429","A30","EGFR tyrosine kinase inhibitor resistance",17
"15430","A30","Efferocytosis",3999
"15431","A30","Endocrine and other factor-regulated calcium reabsorption",1
"15432","A30","Endocrine resistance",2
"15433","A30","Endocytosis",1019
"15434","A30","Endometrial cancer",53
"15435","A30","Epithelial cell signaling in Helicobacter pylori infection",2103
"15436","A30","Epstein-Barr virus infection",3840
"15437","A30","ErbB signaling pathway",3
"15438","A30","Estrogen signaling pathway",2166
"15439","A30","Ether lipid metabolism",30206
"15440","A30","Ethylbenzene degradation",1987
"15441","A30","Exopolysaccharide biosynthesis",18730
"15442","A30","Fanconi anemia pathway",178
"15443","A30","Fat digestion and absorption",3153
"15444","A30","Fatty acid biosynthesis",46261
"15445","A30","Fatty acid degradation",37803
"15446","A30","Fatty acid elongation",523
"15447","A30","Fc epsilon RI signaling pathway",20
"15448","A30","Fc gamma R-mediated phagocytosis",841
"15449","A30","Ferroptosis",8052
"15450","A30","Flagellar assembly",38762
"15451","A30","Flavone and flavonol biosynthesis",126
"15452","A30","Fluid shear stress and atherosclerosis",23168
"15453","A30","Fluorobenzoate degradation",12865
"15454","A30","Focal adhesion",73
"15455","A30","Folate biosynthesis",68334
"15456","A30","FoxO signaling pathway",9753
"15457","A30","Fructose and mannose metabolism",47518
"15458","A30","Furfural degradation",2071
"15459","A30","GABAergic synapse",17413
"15460","A30","Galactose metabolism",42609
"15461","A30","Gap junction",1
"15462","A30","Gastric acid secretion",18
"15463","A30","Gastric cancer",199
"15464","A30","Glioma",68
"15465","A30","Glucagon signaling pathway",19110
"15466","A30","Glucosinolate biosynthesis",7665
"15467","A30","Glutamatergic synapse",16189
"15468","A30","Glutathione metabolism",56051
"15469","A30","Glycerolipid metabolism",56710
"15470","A30","Glycerophospholipid metabolism",79049
"15471","A30","Glycine, serine and threonine metabolism",98182
"15472","A30","Glycolysis / Gluconeogenesis",111528
"15473","A30","Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate",6
"15474","A30","Glycosaminoglycan biosynthesis - heparan sulfate / heparin",116
"15475","A30","Glycosaminoglycan degradation",9183
"15476","A30","Glycosphingolipid biosynthesis - ganglio series",3606
"15477","A30","Glycosphingolipid biosynthesis - globo and isoglobo series",11108
"15478","A30","Glycosphingolipid biosynthesis - lacto and neolacto series",48
"15479","A30","Glycosylphosphatidylinositol (GPI)-anchor biosynthesis",522
"15480","A30","Glyoxylate and dicarboxylate metabolism",124573
"15481","A30","GnRH signaling pathway",822
"15482","A30","Growth hormone synthesis, secretion and action",2
"15483","A30","HIF-1 signaling pathway",18920
"15484","A30","Hedgehog signaling pathway",32
"15485","A30","Hedgehog signaling pathway - fly",32
"15486","A30","Hepatitis B",3648
"15487","A30","Hepatitis C",3651
"15488","A30","Hepatocellular carcinoma",13277
"15489","A30","Herpes simplex virus 1 infection",3425
"15490","A30","Hippo signaling pathway",310
"15491","A30","Hippo signaling pathway - fly",294
"15492","A30","Hippo signaling pathway - multiple species",214
"15493","A30","Histidine metabolism",39875
"15494","A30","Homologous recombination",73067
"15495","A30","Human T-cell leukemia virus 1 infection",1176
"15496","A30","Human cytomegalovirus infection",3332
"15497","A30","Human immunodeficiency virus 1 infection",3196
"15498","A30","Human papillomavirus infection",4710
"15499","A30","Huntington disease",15551
"15500","A30","Hypertrophic cardiomyopathy",427
"15501","A30","IL-17 signaling pathway",2266
"15502","A30","Indole alkaloid biosynthesis",2050
"15503","A30","Inflammatory mediator regulation of TRP channels",25
"15504","A30","Influenza A",3542
"15505","A30","Inositol phosphate metabolism",52226
"15506","A30","Insect hormone biosynthesis",1190
"15507","A30","Insulin resistance",22206
"15508","A30","Insulin signaling pathway",13271
"15509","A30","Isoquinoline alkaloid biosynthesis",6390
"15510","A30","JAK-STAT signaling pathway",3
"15511","A30","Kaposi sarcoma-associated herpesvirus infection",3361
"15512","A30","Legionellosis",16509
"15513","A30","Leishmaniasis",7
"15514","A30","Leukocyte transendothelial migration",67
"15515","A30","Limonene degradation",9271
"15516","A30","Linoleic acid metabolism",151
"15517","A30","Lipid and atherosclerosis",15249
"15518","A30","Lipoarabinomannan (LAM) biosynthesis",15672
"15519","A30","Lipoic acid metabolism",42396
"15520","A30","Lipopolysaccharide biosynthesis",28134
"15521","A30","Long-term depression",61
"15522","A30","Long-term potentiation",48
"15523","A30","Longevity regulating pathway",5869
"15524","A30","Longevity regulating pathway - multiple species",12840
"15525","A30","Longevity regulating pathway - worm",38467
"15526","A30","Lysine biosynthesis",40516
"15527","A30","Lysine degradation",27034
"15528","A30","Lysosome",13910
"15529","A30","MAPK signaling pathway",64
"15530","A30","MAPK signaling pathway - fly",2445
"15531","A30","MAPK signaling pathway - plant",9499
"15532","A30","MAPK signaling pathway - yeast",3904
"15533","A30","Mannose type O-glycan biosynthesis",1942
"15534","A30","Measles",3463
"15535","A30","Meiosis - yeast",4104
"15536","A30","Melanogenesis",204
"15537","A30","Melanoma",62
"15538","A30","Metabolism of xenobiotics by cytochrome P450",16396
"15539","A30","Methane metabolism",101968
"15540","A30","MicroRNAs in cancer",3544
"15541","A30","Mineral absorption",5751
"15542","A30","Mismatch repair",64346
"15543","A30","Mitophagy - animal",2298
"15544","A30","Mitophagy - yeast",392
"15545","A30","Monobactam biosynthesis",22071
"15546","A30","Motor proteins",420
"15547","A30","Mucin type O-glycan biosynthesis",12
"15548","A30","Mycolic acid biosynthesis",13769
"15549","A30","N-Glycan biosynthesis",4241
"15550","A30","NF-kappa B signaling pathway",117
"15551","A30","NOD-like receptor signaling pathway",7608
"15552","A30","Naphthalene degradation",3182
"15553","A30","Natural killer cell mediated cytotoxicity",36
"15554","A30","Necroptosis",25015
"15555","A30","Neomycin, kanamycin and gentamicin biosynthesis",4672
"15556","A30","Neuroactive ligand-receptor interaction",518
"15557","A30","Neurotrophin signaling pathway",27
"15558","A30","Neutrophil extracellular trap formation",251
"15559","A30","Nicotinate and nicotinamide metabolism",59902
"15560","A30","Nitrogen metabolism",50038
"15561","A30","Nitrotoluene degradation",4611
"15562","A30","Non-alcoholic fatty liver disease",9077
"15563","A30","Non-homologous end-joining",24560
"15564","A30","Non-small cell lung cancer",55
"15565","A30","Nonribosomal peptide structures",1300
"15566","A30","Notch signaling pathway",110
"15567","A30","Novobiocin biosynthesis",9259
"15568","A30","Nucleocytoplasmic transport",911
"15569","A30","Nucleotide excision repair",52555
"15570","A30","O-Antigen nucleotide sugar biosynthesis",51813
"15571","A30","O-Antigen repeat unit biosynthesis",2531
"15572","A30","One carbon pool by folate",44116
"15573","A30","Oocyte meiosis",383
"15574","A30","Osteoclast differentiation",299
"15575","A30","Other carbon fixation pathways",84999
"15576","A30","Other glycan degradation",13267
"15577","A30","Other types of O-glycan biosynthesis",4770
"15578","A30","Ovarian steroidogenesis",17
"15579","A30","Oxidative phosphorylation",147826
"15580","A30","Oxytocin signaling pathway",196
"15581","A30","PD-L1 expression and PD-1 checkpoint pathway in cancer",133
"15582","A30","PI3K-Akt signaling pathway",6411
"15583","A30","PPAR signaling pathway",28846
"15584","A30","Pancreatic cancer",869
"15585","A30","Pancreatic secretion",133
"15586","A30","Pantothenate and CoA biosynthesis",54267
"15587","A30","Parathyroid hormone synthesis, secretion and action",922
"15588","A30","Parkinson disease",16165
"15589","A30","Pathogenic Escherichia coli infection",6898
"15590","A30","Pathways in cancer",22362
"15591","A30","Pathways of neurodegeneration - multiple diseases",18535
"15592","A30","Penicillin and cephalosporin biosynthesis",10198
"15593","A30","Pentose and glucuronate interconversions",33266
"15594","A30","Pentose phosphate pathway",95191
"15595","A30","Peptidoglycan biosynthesis",67167
"15596","A30","Peroxisome",38502
"15597","A30","Pertussis",1783
"15598","A30","Phagosome",275
"15599","A30","Phenazine biosynthesis",10074
"15600","A30","Phenylalanine metabolism",68342
"15601","A30","Phenylalanine, tyrosine and tryptophan biosynthesis",60215
"15602","A30","Phenylpropanoid biosynthesis",6673
"15603","A30","Phosphatidylinositol signaling system",7576
"15604","A30","Phospholipase D signaling pathway",861
"15605","A30","Phosphonate and phosphinate metabolism",6764
"15606","A30","Phosphotransferase system (PTS)",3884
"15607","A30","Photosynthesis",25622
"15608","A30","Photosynthesis - antenna proteins",68
"15609","A30","Phototransduction - fly",58
"15610","A30","Pinene, camphor and geraniol degradation",10286
"15611","A30","Plant hormone signal transduction",16340
"15612","A30","Plant-pathogen interaction",13747
"15613","A30","Platelet activation",82
"15614","A30","Platinum drug resistance",20307
"15615","A30","Polycomb repressive complex",2895
"15616","A30","Polycyclic aromatic hydrocarbon degradation",23315
"15617","A30","Polyketide sugar unit biosynthesis",14661
"15618","A30","Porphyrin metabolism",93781
"15619","A30","Primary bile acid biosynthesis",4491
"15620","A30","Primary immunodeficiency",1500
"15621","A30","Prion disease",11298
"15622","A30","Prodigiosin biosynthesis",22152
"15623","A30","Progesterone-mediated oocyte maturation",2490
"15624","A30","Prolactin signaling pathway",3162
"15625","A30","Propanoate metabolism",67549
"15626","A30","Prostate cancer",2223
"15627","A30","Proteasome",4187
"15628","A30","Protein digestion and absorption",244
"15629","A30","Protein export",67652
"15630","A30","Protein processing in endoplasmic reticulum",11483
"15631","A30","Proteoglycans in cancer",3024
"15632","A30","Proximal tubule bicarbonate reclamation",4994
"15633","A30","Purine metabolism",159448
"15634","A30","Pyrimidine metabolism",81516
"15635","A30","Pyruvate metabolism",113690
"15636","A30","Quorum sensing",322657
"15637","A30","RIG-I-like receptor signaling pathway",220
"15638","A30","RNA degradation",50083
"15639","A30","RNA polymerase",11573
"15640","A30","Rap1 signaling pathway",21
"15641","A30","Ras signaling pathway",1067
"15642","A30","Regulation of actin cytoskeleton",168
"15643","A30","Regulation of lipolysis in adipocytes",424
"15644","A30","Renal cell carcinoma",3052
"15645","A30","Renin secretion",335
"15646","A30","Renin-angiotensin system",2802
"15647","A30","Retinol metabolism",2872
"15648","A30","Retrograde endocannabinoid signaling",4789
"15649","A30","Rheumatoid arthritis",327
"15650","A30","Riboflavin metabolism",28957
"15651","A30","Ribosome",110172
"15652","A30","Ribosome biogenesis in eukaryotes",6609
"15653","A30","SNARE interactions in vesicular transport",218
"15654","A30","Salivary secretion",123
"15655","A30","Salmonella infection",15110
"15656","A30","Secondary bile acid biosynthesis",668
"15657","A30","Selenocompound metabolism",68435
"15658","A30","Serotonergic synapse",2878
"15659","A30","Sesquiterpenoid and triterpenoid biosynthesis",3188
"15660","A30","Shigellosis",5276
"15661","A30","Small cell lung cancer",3311
"15662","A30","Sphingolipid metabolism",18857
"15663","A30","Sphingolipid signaling pathway",1496
"15664","A30","Spinocerebellar ataxia",4781
"15665","A30","Spliceosome",1128
"15666","A30","Staphylococcus aureus infection",670
"15667","A30","Starch and sucrose metabolism",105563
"15668","A30","Staurosporine biosynthesis",865
"15669","A30","Steroid biosynthesis",1371
"15670","A30","Steroid degradation",9225
"15671","A30","Steroid hormone biosynthesis",1685
"15672","A30","Streptomycin biosynthesis",25487
"15673","A30","Styrene degradation",36915
"15674","A30","Sulfur metabolism",70333
"15675","A30","Sulfur relay system",36546
"15676","A30","Synaptic vesicle cycle",103
"15677","A30","Systemic lupus erythematosus",920
"15678","A30","T cell receptor signaling pathway",303
"15679","A30","TGF-beta signaling pathway",165
"15680","A30","Taurine and hypotaurine metabolism",21555
"15681","A30","Teichoic acid biosynthesis",21160
"15682","A30","Terpenoid backbone biosynthesis",36172
"15683","A30","Tetracycline biosynthesis",1243
"15684","A30","Th1 and Th2 cell differentiation",67
"15685","A30","Th17 cell differentiation",2246
"15686","A30","Thermogenesis",23176
"15687","A30","Thiamine metabolism",28039
"15688","A30","Thyroid cancer",60
"15689","A30","Thyroid hormone signaling pathway",26968
"15690","A30","Thyroid hormone synthesis",2391
"15691","A30","Tight junction",677
"15692","A30","Toll and Imd signaling pathway",1207
"15693","A30","Toluene degradation",17572
"15694","A30","Toxoplasmosis",3202
"15695","A30","Transcriptional misregulation in cancer",272
"15696","A30","Tropane, piperidine and pyridine alkaloid biosynthesis",9620
"15697","A30","Tryptophan metabolism",57463
"15698","A30","Tuberculosis",34391
"15699","A30","Two-component system",285035
"15700","A30","Type I diabetes mellitus",9018
"15701","A30","Type I polyketide structures",163
"15702","A30","Type II diabetes mellitus",4256
"15703","A30","Tyrosine metabolism",42985
"15704","A30","Ubiquinone and other terpenoid-quinone biosynthesis",36832
"15705","A30","Ubiquitin mediated proteolysis",545
"15706","A30","VEGF signaling pathway",81
"15707","A30","Valine, leucine and isoleucine biosynthesis",38521
"15708","A30","Valine, leucine and isoleucine degradation",71303
"15709","A30","Vancomycin resistance",32895
"15710","A30","Various types of N-glycan biosynthesis",4285
"15711","A30","Vascular smooth muscle contraction",46
"15712","A30","Vasopressin-regulated water reabsorption",101
"15713","A30","Vibrio cholerae infection",249
"15714","A30","Viral carcinogenesis",5484
"15715","A30","Viral life cycle - HIV-1",436
"15716","A30","Viral myocarditis",3321
